Week,cardi b fashion nova,cardi b pepsi,cardi b amazon alexa,cardi b steve madden,cardi b,fashion nova,pepsi,amazon alexa
2014-02-16,0,0,0,0,0,0.5,6,0.5
2014-02-23,0,0,0,0,0,0.5,7,0.5
2014-03-02,0,0,0,0,0,0.5,8,0.5
2014-03-09,0,0,0,0,0,0.5,7,0.5
2014-03-16,0,0,0,0,0,0.5,7,0.5
2014-03-23,0,0,0,0,0.5,0.5,7,0.5
2014-03-30,0,0,0,0,0,0.5,6,0.5
2014-04-06,0,0,0,0,0,0.5,6,0.5
2014-04-13,0,0,0,0,0,0.5,6,0.5
2014-04-20,0,0,0,0,0,0.5,6,0.5
2014-04-27,0,0,0,0,0.5,0.5,5,0.5
2014-05-04,0,0,0,0,0,0.5,6,0.5
2014-05-11,0,0,0,0,0,0.5,5,0.5
2014-05-18,0,0,0,0,0.5,0.5,6,0.5
2014-05-25,0,0,0,0,0,0.5,5,0.5
2014-06-01,0,0,0,0,0,0.5,5,0.5
2014-06-08,0,0,0,0,0,0.5,5,0.5
2014-06-15,0,0,0,0,0,0.5,6,0.5
2014-06-22,0,0,0,0,0.5,0.5,5,0.5
2014-06-29,0,0,0,0,0.5,0.5,6,0.5
2014-07-06,0,0,0,0,0.5,0.5,6,0.5
2014-07-13,0,0,0,0,0.5,0.5,6,0.5
2014-07-20,0,0,0,0,0.5,0.5,6,0.5
2014-07-27,0,0,0,0,0.5,0.5,6,0.5
2014-08-03,0,0,0,0,0.5,0.5,6,0.5
2014-08-10,0,0,0,0,0.5,0.5,5,0.5
2014-08-17,0,0,0,0,0.5,0.5,5,0.5
2014-08-24,0,0,0,0,0.5,0.5,5,0.5
2014-08-31,0,0,0,0,0.5,0.5,5,0.5
2014-09-07,0,0,0,0,0.5,0.5,5,0.5
2014-09-14,0,0,0,0,0.5,0.5,6,0.5
2014-09-21,0,0,0,0,0.5,0.5,6,0.5
2014-09-28,0,0,0,0,0.5,0.5,6,0.5
2014-10-05,0,0,0,0,0.5,0.5,5,0.5
2014-10-12,0,0,0,0,0.5,0.5,5,0.5
2014-10-19,0,0,0,0,0.5,0.5,5,0.5
2014-10-26,0,0,0,0,0.5,0.5,5,0.5
2014-11-02,0,0,0,0,0.5,0.5,5,0.5
2014-11-09,0,0,0,0,0.5,0.5,5,0.5
2014-11-16,0,0,0,0,0.5,0.5,5,0.5
2014-11-23,0,0,0,0,0.5,0.5,4,0.5
2014-11-30,0,0,0,0,0.5,0.5,5,0.5
2014-12-07,0,0,0,0,0.5,0.5,5,0.5
2014-12-14,0,0,0,0,0.5,0.5,5,0.5
2014-12-21,0,0,0,0,0.5,0.5,4,0.5
2014-12-28,0,0,0,0,0.5,0.5,4,0.5
2015-01-04,0,0,0,0,0.5,0.5,5,0.5
2015-01-11,0,0,0,0,0.5,0.5,6,0.5
2015-01-18,0,0,0,0,0.5,0.5,6,0.5
2015-01-25,0,0,0,0,0.5,0.5,6,0.5
2015-02-01,0,0,0,0,0.5,0.5,6,0.5
2015-02-08,0,0,0,0,0.5,0.5,5,0.5
2015-02-15,0,0,0,0,0.5,0.5,5,0.5
2015-02-22,0,0,0,0,0.5,0.5,5,0.5
2015-03-01,0,0,0,0,0.5,1,5,0.5
2015-03-08,0,0,0,0,0.5,0.5,5,0.5
2015-03-15,0,0,0,0,0.5,0.5,6,0.5
2015-03-22,0,0,0,0,0.5,0.5,6,0.5
2015-03-29,0,0,0,0,0.5,0.5,6,0.5
2015-04-05,0,0,0,0,0.5,0.5,6,0.5
2015-04-12,0,0,0,0,0.5,0.5,6,0.5
2015-04-19,0,0,0,0,0.5,0.5,6,0.5
2015-04-26,0,0,0,0,0.5,0.5,6,0.5
2015-05-03,0,0,0,0,0.5,1,7,0.5
2015-05-10,0,0,0,0,0.5,0.5,6,0.5
2015-05-17,0,0,0,0,0.5,0.5,5,0.5
2015-05-24,0,0,0,0,0.5,0.5,5,0.5
2015-05-31,0,0,0,0,0.5,1,6,0.5
2015-06-07,0,0,0,0,0.5,0.5,7,0.5
2015-06-14,0,0,0,0,0.5,1,6,0.5
2015-06-21,0,0,0,0,0.5,1,5,0.5
2015-06-28,0,0,0,0,0.5,1,6,0.5
2015-07-05,0,0,0,0,0.5,1,6,0.5
2015-07-12,0,0,0,0,0.5,1,5,0.5
2015-07-19,0,0,0,0,0.5,1,6,0.5
2015-07-26,0,0,0,0,0.5,1,6,0.5
2015-08-02,0,0,0,0,0.5,1,6,0.5
2015-08-09,0,0,0,0,0.5,1,6,0.5
2015-08-16,0,0,0,0,0.5,1,6,0.5
2015-08-23,0,0,0,0,0.5,1,5,0.5
2015-08-30,0,0,0,0,0.5,1,6,0.5
2015-09-06,0,0,0,0,0.5,1,6,0.5
2015-09-13,0,0,0,0,0.5,1,6,0.5
2015-09-20,0,0,0,0,0.5,1,6,0.5
2015-09-27,0,0,0,0,0.5,1,6,0.5
2015-10-04,0,0,0,0,0.5,1,8,0.5
2015-10-11,0,0,0,0,0.5,1,7,0.5
2015-10-18,0,0,0,0,0.5,1,14,0.5
2015-10-25,0,0,0,0,0.5,1,6,0.5
2015-11-01,0,0,0,0,0.5,1,7,0.5
2015-11-08,0,0,0,0,1,1,6,0.5
2015-11-15,0.5,0,0,0,0.5,1,6,0.5
2015-11-22,0,0,0,0,1,2,5,1
2015-11-29,0,0,0,0,1,2,6,1
2015-12-06,0,0,0,0,1,2,8,0.5
2015-12-13,0,0,0,0,4,2,7,0.5
2015-12-20,0,0,0,0,3,2,6,1
2015-12-27,0,0,0,0,3,2,6,1
2016-01-03,0.5,0,0,0,3,2,6,0.5
2016-01-10,0,0,0,0.5,4,2,6,0.5
2016-01-17,0,0,0,0,3,2,6,0.5
2016-01-24,0,0,0,0,2,3,7,0.5
2016-01-31,0,0,0,0,3,3,6,0.5
2016-02-07,0,0,0,0,2,3,8,1
2016-02-14,0,0.5,0,0,2,3,7,0.5
2016-02-21,0,0,0,0,3,3,6,0.5
2016-02-28,0,0,0,0,2,3,6,0.5
2016-03-06,0,0,0,0,4,3,6,0.5
2016-03-13,0,0.5,0,0,3,3,6,0.5
2016-03-20,0.5,0,0,0,6,3,6,0.5
2016-03-27,0,0,0,0,6,3,6,0.5
2016-04-03,0,0,0,0.5,3,3,6,1
2016-04-10,0,0.5,0,0,2,3,7,1
2016-04-17,0.5,0,0,0,2,3,7,1
